,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,Time
2.795,-5.619822,-3.529842,442.136128,-43.829779,-5.549656,-1.413408,0.012552,-0.099132,0.207
2.796,-5.178207,-2.013809,445.577689,-44.298166,-5.569499,-0.766078,0.0125,-0.099417,0.208
2.797,-5.359245,-2.989384,449.364828,-44.776533,-5.531255,-0.445667,0.012309,-0.099644,0.209
2.798,-7.041556,-3.79904,453.282211,-45.283569,-5.452846,-1.72113,0.01203,-0.099901,0.21
2.799,-7.396229,-2.370552,457.061089,-45.680436,-5.418267,-0.987225,0.011855,-0.099944,0.211
2.8,-6.780061,-2.459298,461.192103,-46.202208,-5.340815,-0.77516,0.01158,-0.10018,0.212
2.801,-8.285793,-3.53453,465.113399,-46.762873,-5.346313,-2.005072,0.011495,-0.100541,0.213
2.802,-9.261053,-2.726776,469.062259,-47.227496,-5.31893,-1.20847,0.011339,-0.100685,0.214
2.803,-8.643465,-1.929428,473.191352,-47.79049,-5.287015,-1.112175,0.011173,-0.100996,0.215
2.804,-9.176708,-3.095345,477.124411,-48.218464,-5.246324,-2.27931,0.010996,-0.101061,0.216
2.805,-10.860199,-2.994465,481.581859,-48.746405,-5.229621,-1.400823,0.010859,-0.101221,0.217
2.806,-10.507482,-1.843459,485.19017,-49.292343,-5.141448,-1.436703,0.010597,-0.101594,0.218
2.807,-10.1551,-2.475012,489.471877,-49.879563,-5.103175,-2.488962,0.010426,-0.101905,0.219
2.808,-11.839743,-2.99655,493.075648,-50.345772,-5.110918,-1.588646,0.010365,-0.102106,0.22
2.809,-12.194711,-2.023348,497.53692,-50.847579,-5.079706,-1.715581,0.01021,-0.102199,0.221
2.81,-11.399519,-1.766853,501.650388,-51.379953,-5.088303,-2.694069,0.010143,-0.102422,0.222
2.811,-12.730512,-2.644333,505.432093,-51.797827,-5.010384,-1.702,0.009913,-0.102482,0.223
2.812,-13.616574,-2.114737,509.714197,-52.309523,-4.982154,-1.965602,0.009774,-0.102625,0.224
2.813,-12.732107,-1.323235,513.654054,-52.835212,-5.008368,-2.846179,0.00975,-0.102861,0.225
2.814,-13.266756,-1.934038,517.269783,-53.300815,-4.961075,-1.825562,0.009591,-0.103043,0.226
2.815,-14.595264,-2.026564,521.033932,-53.814524,-4.932193,-2.175287,0.009466,-0.103284,0.227
2.816,-13.886894,-0.968118,525.144373,-54.320006,-4.897121,-2.952651,0.009325,-0.103438,0.228
2.817,-13.802435,-1.048947,528.768324,-54.746595,-4.866284,-1.939401,0.009203,-0.103536,0.229
2.818,-14.954298,-1.497089,532.532516,-55.243492,-4.829461,-2.380077,0.009069,-0.103737,0.23
2.819,-14.954321,-0.615754,536.126842,-55.70684,-4.80564,-3.032682,0.008964,-0.103906,0.231
2.82,-14.337692,-0.251026,539.57933,-56.057652,-4.771422,-1.983731,0.008843,-0.103891,0.232
2.821,-15.224623,-0.966766,543.003095,-56.54228,-4.7688,-2.510724,0.008782,-0.104129,0.233
2.822,-15.755227,-0.437466,546.763136,-57.020715,-4.746936,-3.081656,0.008682,-0.104288,0.234
2.823,-15.137036,0.370674,549.699316,-57.425465,-4.689481,-2.044998,0.008531,-0.104467,0.235
2.824,-15.315707,-0.257301,552.78406,-57.850393,-4.653147,-2.617527,0.008418,-0.104653,0.236
2.825,-16.024169,-0.171375,556.204354,-58.242606,-4.640302,-3.051449,0.008343,-0.104714,0.237
2.826,-15.672018,0.902491,559.310613,-58.560579,-4.618418,-2.043771,0.008257,-0.104701,0.238
2.827,-15.230239,0.71607,562.227314,-58.974818,-4.529419,-2.702727,0.008056,-0.104895,0.239
2.828,-16.116363,0.359287,564.791923,-59.313914,-4.548726,-2.99984,0.008054,-0.105019,0.24
2.829,-16.117674,0.989311,567.722558,-59.642642,-4.475235,-2.037439,0.007883,-0.105056,0.241
2.83,-15.321231,1.33574,570.295905,-59.951702,-4.414797,-2.730402,0.007741,-0.105124,0.242
2.831,-15.675973,1.069216,573.033983,-60.39523,-4.384972,-2.9579,0.007652,-0.105396,0.243
2.832,-16.207452,1.433402,575.272933,-60.644372,-4.337451,-2.041145,0.00754,-0.105418,0.244
2.833,-15.410895,2.044375,577.846772,-60.965593,-4.277182,-2.803796,0.007402,-0.105505,0.245
2.834,-15.234762,1.778183,580.077555,-61.247376,-4.244997,-2.882464,0.007318,-0.105585,0.246
2.835,-16.121918,1.785709,582.317621,-61.413044,-4.215312,-1.989474,0.007239,-0.105463,0.247
2.836,-15.412422,2.575313,584.54221,-61.742416,-4.112801,-2.802675,0.007036,-0.105625,0.248
2.837,-14.793057,2.663406,586.264131,-61.944419,-4.036277,-2.773414,0.006885,-0.10566,0.249
2.838,-15.502655,2.405471,588.158273,-62.163388,-3.998343,-1.959582,0.006798,-0.105692,0.25
2.839,-15.501252,2.92906,590.207251,-62.511105,-3.953231,-2.784843,0.006698,-0.105914,0.251
2.84,-14.527476,3.464213,591.756563,-62.637273,-3.92757,-2.662499,0.006637,-0.10585,0.252
2.841,-14.794706,3.115153,593.141856,-62.82019,-3.892406,-1.901356,0.006562,-0.105911,0.253
2.842,-14.970677,3.372127,594.845089,-63.089236,-3.810187,-2.772036,0.006405,-0.10606,0.254
2.843,-14.173651,4.085493,596.222334,-63.256773,-3.769655,-2.55864,0.006323,-0.106096,0.255
2.844,-13.998834,3.823387,597.439508,-63.411812,-3.736762,-1.883888,0.006255,-0.106139,0.256
2.845,-14.352192,3.72533,598.799093,-63.598128,-3.663578,-2.754424,0.006118,-0.106209,0.257
2.846,-13.820598,4.439321,600.005931,-63.798382,-3.658783,-2.433162,0.006098,-0.10633,0.258
2.847,-13.290193,4.621562,600.705809,-63.942331,-3.631517,-1.837992,0.006045,-0.106445,0.259
2.848,-13.643357,4.168382,601.895273,-64.078986,-3.581886,-2.708353,0.005951,-0.106462,0.26
2.849,-13.465949,4.6174,603.098272,-64.200636,-3.501746,-2.317228,0.005806,-0.106451,0.261
