,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
219,0.008102,-0.114405,-0.329279,-0.83932,552.914252,-63.256146,-4.479758,0.468152,1.825
220,0.00814136,-0.11467369,-0.21188365,-1.04476936,552.3978788,-63.34548268,-4.49730817,0.46071748,1.83333
221,0.00809536,-0.11493001,-0.12439247,-1.4888075,552.2252694,-63.46728844,-4.47045024,0.44012935,1.84167
222,0.008145,-0.115132,0.198844,-1.546717,552.570221,-63.618285,-4.500786,0.434497,1.85
223,0.00818187,-0.11527459,0.37445869,-1.63586005,552.8008704,-63.72375043,-4.52311683,0.42249751,1.85833
224,0.00832325,-0.11541594,0.52117266,-1.72318466,553.6036869,-63.89460498,-4.60794805,0.43991839,1.86667
225,0.008399,-0.115414,0.726644,-1.54453,554.6356,-64.012953,-4.658481,0.491867,1.875
226,0.00862652,-0.11535305,1.07920745,-1.33781677,554.9285753,-64.0128007,-4.78717675,0.52909761,1.88333
227,0.00880977,-0.11529377,1.13824287,-1.21756271,554.4139588,-63.92051488,-4.88416062,0.55601998,1.89167
228,0.009045,-0.115106,1.078917,-1.277831,553.960081,-63.764281,-5.0104,0.570132,1.9
229,0.00919821,-0.11490941,1.01892811,-1.27729021,553.3877146,-63.5893905,-5.0901297,0.54751197,1.90833
230,0.00925818,-0.11494059,0.9612275,-1.10063857,552.642397,-63.52085463,-5.11634144,0.50076517,1.91667
231,0.00931,-0.114923,0.726367,-0.922426,552.410484,-63.484876,-5.142838,0.478205,1.925
232,0.009279,-0.114892,0.638205,-1.011813,552.238259,-63.447511,-5.124352,0.449511,1.93333
233,0.00928064,-0.11495567,0.69816581,-1.10109252,551.8957116,-63.4434082,-5.12189061,0.42629666,1.94167
234,0.009207,-0.11495,0.727992,-1.455607,551.206536,-63.361233,-5.074889,0.387336,1.95
235,0.0090593,-0.11504955,0.81838265,-1.42728584,550.4623017,-63.33033417,-4.98673413,0.40032407,1.95833
236,0.00877821,-0.11482064,0.84981275,-1.3109855,549.6062683,-63.10611885,-4.8244762,0.37909118,1.96667
237,0.008606,-0.114409,0.911769,-0.838902,548.631485,-62.768282,-4.721765,0.375869,1.975
238,0.00850213,-0.11408239,1.1791452,-0.10158213,547.547518,-62.46536424,-4.65533211,0.38848187,1.98333
239,0.0082842,-0.11364928,1.26987483,0.54661632,546.6318897,-62.12428376,-4.52831039,0.34773953,1.99167
240,0.007946,-0.113408,1.184373,1.194562,546.231024,-61.947159,-4.340459,0.356712,2
241,0.00762728,-0.113223,1.09978672,1.54893978,546.3972254,-61.86473587,-4.16763086,0.30664819,2.00833
242,0.00694273,-0.1129364,0.86742168,1.57402942,546.6247515,-61.73375219,-3.79509736,0.27653982,2.01667
243,0.006152,-0.112723,0.401989,1.895878,546.901368,-61.648622,-3.364678,0.193767,2.025
